species,total_weight(g),covered_distance,,,
achilles,0.57,4.117835808,Average weight,,Average distance
achilles,0.57,1.64939343,0.5865625,,4.038951337
achilles,0.57,4.000105755,,,
achilles,0.45,2.117163422,,,
achilles,0.45,3.957365712,,,
achilles,0.45,3.457539626,,,
achilles,0.58,2.752119315,,,
achilles,0.58,2.548740194,,,
achilles,0.58,3.257583891,,,
achilles,0.55,3.657053885,,,
achilles,0.55,4.370240501,,,
achilles,0.5,3.678302081,,,
achilles,0.5,4.981495294,,,
achilles,0.5,4.391389583,,,
achilles,0.62,4.068569038,,,
achilles,0.62,2.910368184,,,
achilles,0.62,3.156268046,,,
achilles,0.71,3.853479694,,,
achilles,0.71,2.938291797,,,
achilles,0.71,4.547007345,,,
achilles,0.7,4.350550131,,,
achilles,0.7,3.866549988,,,
achilles,0.7,3.918948487,,,
achilles,0.6,10.55113977,,,
achilles,0.6,4.63896989,,,
achilles,0.6,4.486760166,,,
achilles,0.6,3.913095,,,
achilles,0.6,5.338410935,,,
achilles,0.6,5.451499833,,,
achilles,0.56,5.507775058,,,
achilles,0.56,2.74429341,,,
achilles,0.56,4.068137505,,,
,,,,,
aurora,0.1,4.621662835,Average weight,,Average distance
aurora,0.1,2.821821923,0.1,,3.297525429
aurora,0.1,2.449091528,,,
,,,,,
cisseis,0.44,6.826314136,,,
cisseis,0.44,4.575907584,,,
cisseis,0.44,5.127059655,Average weight,,Average distance
cisseis,0.38,3.518632714,0.580909091,,4.915179602
cisseis,0.38,3.458804011,,,
cisseis,0.38,3.740093013,,,
cisseis,0.58,4.125381656,,,
cisseis,0.58,6.545100307,,,
cisseis,0.58,4.045535352,,,
cisseis,0.6,3.659119527,,,
cisseis,0.6,3.927090064,,,
cisseis,0.6,3.359263315,,,
cisseis,0.82,5.771679173,,,
cisseis,0.82,5.647782562,,,
cisseis,0.82,5.002999232,,,
cisseis,0.73,5.718304567,,,
cisseis,0.73,5.109304289,,,
cisseis,0.73,5.08813612,,,
cisseis,0.65,3.619014615,,,
cisseis,0.65,3.341151463,,,
cisseis,0.65,3.402861923,,,
cisseis,0.43,6.002502444,,,
cisseis,0.43,3.830682199,,,
cisseis,0.43,5.261430741,,,
cisseis,0.55,4.922746386,,,
cisseis,0.55,5.076118234,,,
cisseis,0.55,5.850967753,,,
cisseis,0.6,5.143084593,,,
cisseis,0.6,6.696405275,,,
cisseis,0.6,5.878147163,,,
cisseis,0.61,5.111186642,,,
cisseis,0.61,6.791446429,,,
cisseis,0.61,6.026673725,,,
,,,,,
deidamia,0.73,5.485408977,,,
deidamia,0.73,5.318513804,Average weight,,Average distance
deidamia,0.73,5.625349261,0.639,,4.620118743
deidamia,0.56,2.862698058,,,
deidamia,0.56,2.522780502,,,
deidamia,0.56,3.409505992,,,
deidamia,0.58,5.824523829,,,
deidamia,0.58,5.042998276,,,
deidamia,0.58,5.7613406,,,
deidamia,0.59,3.321333617,,,
deidamia,0.59,4.274231381,,,
deidamia,0.59,6.252574667,,,
deidamia,0.71,4.749095986,,,
deidamia,0.71,4.5027522,,,
deidamia,0.71,5.490223121,,,
deidamia,0.67,3.711902821,,,
deidamia,0.67,2.63027838,,,
deidamia,0.67,4.065713408,,,
deidamia,0.67,3.797573431,,,
deidamia,0.67,4.074822242,,,
deidamia,0.67,4.915827915,,,
deidamia,0.53,5.326625664,,,
deidamia,0.53,5.139935783,,,
deidamia,0.53,5.118348555,,,
deidamia,0.6,5.159705373,,,
deidamia,0.6,7.117400349,,,
deidamia,0.6,5.346118817,,,
deidamia,0.75,4.281194817,,,
deidamia,0.75,3.959538455,,,
deidamia,0.75,3.515246011,,,
,,,,,
godartii,0.57,4.150973338,Average weight,,Average distance
godartii,0.57,3.11362731,0.625,,4.009342962
godartii,0.57,4.453821071,,,
godartii,0.57,7.276175353,,,
godartii,0.57,7.349045472,,,
godartii,0.57,4.211112986,,,
godartii,0.56,4.224342819,,,
godartii,0.56,1.433782789,,,
godartii,0.56,3.784020512,,,
godartii,0.48,4.063123233,,,
godartii,0.48,3.740288304,,,
godartii,0.48,4.899683345,,,
godartii,0.5,3.748823211,,,
godartii,0.5,8.269117128,,,
godartii,0.5,2.31407175,,,
godartii,0.59,4.113006578,,,
godartii,0.59,2.51035797,,,
godartii,0.59,2.74886029,,,
godartii,0.73,3.287756623,,,
godartii,0.73,3.674426257,,,
godartii,0.73,4.001006376,,,
godartii,0.77,3.854343319,,,
godartii,0.77,4.311594547,,,
godartii,0.77,5.703592828,,,
godartii,0.68,4.163239525,,,
godartii,0.68,1.804043067,,,
godartii,0.68,2.692392412,,,
godartii,0.8,3.209465208,,,
godartii,0.8,3.861021345,,,
godartii,0.8,3.31317388,,,
,,,,,
helenor,0.56,2.990418105,Average weight,,Average distance
helenor,0.56,2.254617562,0.492903226,,4.694963063
helenor,0.56,3.167074827,,,
helenor,0.55,2.103806189,,,
helenor,0.55,1.913720226,,,
helenor,0.55,2.711765035,,,
helenor,0.5,4.544270441,,,
helenor,0.5,4.118864159,,,
helenor,0.5,4.527162476,,,
helenor,0.5,5.781032594,,,
helenor,0.5,6.201191021,,,
helenor,0.5,5.215126791,,,
helenor,0.44,4.740110289,,,
helenor,0.44,3.78220104,,,
helenor,0.44,8.101762621,,,
helenor,0.34,4.791588735,,,
helenor,0.34,5.491908666,,,
helenor,0.34,5.417213215,,,
helenor,0.4,5.572774305,,,
helenor,0.4,5.367333279,,,
helenor,0.4,5.110120008,,,
helenor,0.52,5.650756471,,,
helenor,0.52,5.589666448,,,
helenor,0.52,6.060507994,,,
helenor,0.53,3.113693141,,,
helenor,0.53,4.255446834,,,
helenor,0.53,6.313847008,,,
helenor,0.53,6.029153248,,,
helenor,0.53,7.145957736,,,
helenor,0.6,4.429412251,,,
helenor,0.6,3.051352252,,,
,,,,,
marcus,0.31,4.302394666,Average weight,,Average distance
marcus,0.31,3.9371171,0.22,,4.093951941
marcus,0.31,5.403183197,,,
marcus,0.13,4.600329903,,,
marcus,0.13,2.923902217,,,
marcus,0.13,3.396784563,,,
,,,,,
menelaus,0.48,5.192155649,Average weight,,Average distance
menelaus,0.48,6.305388447,0.599090909,,5.082595678
menelaus,0.48,4.103710801,,,
menelaus,0.53,2.494932559,,,
menelaus,0.53,4.00131523,,,
menelaus,0.53,4.051553606,,,
menelaus,0.72,6.175340011,,,
menelaus,0.72,6.608179895,,,
menelaus,0.72,4.779377447,,,
menelaus,0.73,5.393769898,,,
menelaus,0.73,5.500311348,,,
menelaus,0.73,5.03667349,,,
menelaus,0.59,5.995353001,,,
menelaus,0.59,5.336432045,,,
menelaus,0.59,5.438464474,,,
menelaus,0.73,6.247335952,,,
menelaus,0.73,6.312974823,,,
menelaus,0.73,13.03868189,,,
menelaus,0.51,3.660604385,,,
menelaus,0.51,4.725880034,,,
menelaus,0.51,4.10394719,,,
menelaus,0.57,6.296626677,,,
menelaus,0.57,5.290372219,,,
menelaus,0.57,4.053887505,,,
menelaus,0.63,2.049166031,,,
menelaus,0.63,1.964748617,,,
menelaus,0.63,2.680051852,,,
menelaus,0.58,3.699137627,,,
menelaus,0.58,3.608957205,,,
menelaus,0.58,3.43573007,,,
menelaus,0.52,6.409953254,,,
menelaus,0.52,6.342430787,,,
menelaus,0.52,7.392213358,,,
,,,,,
rhetenor,0.73,4.011399691,Average weight,,Average distance
rhetenor,0.73,4.461847342,0.55625,,3.894327273
rhetenor,0.73,3.80548333,,,
rhetenor,0.4,2.683540223,,,
rhetenor,0.4,3.543431415,,,
rhetenor,0.4,3.202792058,,,
rhetenor,0.4,4.15620914,,,
rhetenor,0.4,4.208906399,,,
rhetenor,0.4,4.9598201,,,
rhetenor,0.52,3.698196198,,,
rhetenor,0.52,3.686013495,,,
rhetenor,0.52,3.127045544,,,
rhetenor,0.53,6.925093881,,,
rhetenor,0.53,5.157446084,,,
rhetenor,0.53,5.979372708,,,
rhetenor,0.5,2.878433442,,,
rhetenor,0.5,2.849384156,,,
rhetenor,0.5,2.947072988,,,
rhetenor,0.67,4.897548249,,,
rhetenor,0.67,3.267428612,,,
rhetenor,0.67,4.313934694,,,
rhetenor,0.7,2.483812976,,,
rhetenor,0.7,2.928186651,,,
rhetenor,0.7,3.291455181,,,
,,,,,
sulkowskyi,0.12,4.315348462,Average weight,,Average distance
sulkowskyi,0.12,5.238130251,0.095,,4.377929217
sulkowskyi,0.12,5.213822564,,,
sulkowskyi,0.07,2.586308782,,,
sulkowskyi,0.07,3.534544737,,,
sulkowskyi,0.07,5.379420506,,,
,,,,,
theseus,0.3125,3.347316956,Average weight,,Average distance
theseus,0.4,2.663136393,,,
theseus,0.4,3.965560367,0.3125,,4.028477487
theseus,0.4,2.682337075,,,
theseus,0.26,2.902628508,,,
theseus,0.26,3.013678752,,,
theseus,0.26,3.370418142,,,
theseus,0.29,5.797152183,,,
theseus,0.29,7.230449879,,,
theseus,0.29,4.884331882,,,
theseus,0.3,4.588787881,,,
theseus,0.3,4.126920561,,,
theseus,0.3,3.797488757,,,